id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
13358,Monthly (or Longer ) Designer One Bedroom Downtown,West End,49.28201,-123.12669,Entire condo,Entire home/apt,2,1.0,1.0,85.0,30,60,4.67,4.76,4.8,4.84,4.79,4.92,4.67,False,52116
13490,Vancouver's best kept secret,Kensington-Cedar Cottage,49.25622,-123.06607,Entire rental unit,Entire home/apt,2,1.0,1.0,150.0,30,90,4.92,4.92,4.96,4.96,4.97,4.77,4.88,False,52467
14267,EcoLoft Vancouver,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home,Entire home/apt,4,1.0,2.0,150.0,3,7,4.76,4.84,4.68,4.9,4.68,4.77,4.71,True,56030
16254,Close to PNE/Hastings Park Garden level suite,Hastings-Sunrise,49.27721,-123.04086,Entire guest suite,Entire home/apt,4,2.0,3.0,350.0,3,31,4.8,4.8,4.8,5.0,5.0,5.0,4.6,True,63238
16611,"1 block to skytrain station, shops,restaurant,bank",Grandview-Woodland,49.26339,-123.07145,Entire residential home,Entire home/apt,6,3.0,4.0,100.0,30,1125,4.0,4.0,3.0,4.0,4.33,5.0,3.67,False,58512
17158,Vancouver 3br 3ba house 20min to DT,Renfrew-Collingwood,49.25277,-123.03774,Entire home,Entire home/apt,7,4.0,5.0,195.0,4,29,5.0,4.83,5.0,5.0,5.0,4.83,5.0,False,48673
17765,"Central location, nice little apartment",Mount Pleasant,49.26132,-123.10845,Entire rental unit,Entire home/apt,2,1.0,1.0,94.0,5,60,4.6,4.75,4.5,4.85,4.85,4.88,4.66,False,68672
18270,private rm in clean central 2BR apt,Mount Pleasant,49.26557,-123.096,Private room in condo,Private room,2,1.0,1.0,51.0,30,1125,4.54,4.5,3.98,4.75,4.73,4.69,4.49,False,70437
18589,Commercial Drive B&B,Grandview-Woodland,49.27569,-123.07057,Private room in residential home,Private room,2,1.0,1.0,94.0,1,40,4.98,4.96,4.98,4.99,5.0,4.9,4.95,False,71508
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",Kitsilano,49.2733,-123.16457,Entire rental unit,Entire home/apt,2,,1.0,299.0,2,16,4.22,4.56,4.06,4.78,4.67,4.94,4.17,True,72055
18795,*Best choice in downtown-5 Stars * -2,West End,49.28299,-123.13008,Private room in residential home,Private room,2,1.0,1.0,65.0,30,360,4.55,4.58,4.47,4.7,4.67,4.87,4.54,False,70137
