id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire rental unit,Entire home/apt,8,3.0,5.0,70.0,1,1125,4.77,4.81,4.75,4.84,4.84,4.5,4.66,True,37177
10990,Athens Quality Apartments - Deluxe Apartment,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire rental unit,Entire home/apt,4,1.0,1.0,50.0,1,1125,4.83,4.91,4.85,4.91,4.91,4.81,4.79,True,37177
10993,Athens Quality Apartments - Studio,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire rental unit,Entire home/apt,2,,1.0,38.0,1,1125,4.83,4.92,4.92,4.97,4.97,4.83,4.8,True,37177
10995,"AQA-No2 1-bedroom, smart tv, fiber connection,",ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire rental unit,Entire home/apt,4,1.0,2.0,48.0,1,1125,4.81,4.96,4.92,4.92,4.88,4.8,4.8,True,37177
27262,"54m2, 1-br, cable tv, wi-fi, metro",ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire rental unit,Entire home/apt,4,1.0,1.0,52.0,1,1125,4.76,4.81,4.94,4.94,5.0,4.69,4.63,True,37177
28186,❤️Deluxe central loft near Acropolis❤️,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97545,23.72892,Entire loft,Entire home/apt,4,1.0,2.0,54.0,2,1125,4.82,4.86,4.9,4.82,4.9,4.94,4.78,False,121318
31155,sleep on sailing boat,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room in rental unit,Private room,1,1.0,1.0,39.0,1,730,,,,,,,,False,133845
33945,Spacious Cosy aprtm very close to Metro!,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire rental unit,Entire home/apt,5,2.0,2.0,30.0,5,365,4.7,4.71,4.69,4.86,4.89,4.59,4.8,False,146553
49489,3bdr apt in the heart of Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire rental unit,Entire home/apt,7,3.0,5.0,120.0,2,365,4.66,4.75,4.69,4.83,4.86,4.86,4.67,True,225612
54637,Penthouse Parthenon view in Athens,ΠΑΓΚΡΑΤΙ,37.96919,23.74354,Entire rental unit,Entire home/apt,2,1.0,1.0,70.0,10,730,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,256676
59663,ATHENS spacious apt Ideal location,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99018,23.72185,Entire rental unit,Entire home/apt,6,4.0,4.0,55.0,2,60,4.75,4.83,4.8,4.84,4.91,4.35,4.78,True,286911
60394,Cosy 1 bedroom apt! Great central Athens location!,ΣΤΑΔΙΟ,37.96738,23.74038,Entire rental unit,Entire home/apt,3,1.0,1.0,28.0,6,300,4.9,4.9,4.9,4.8,4.9,4.9,4.8,False,290864
83097,House In Centre,ΣΤΑΔΙΟ,37.96519,23.74549,Entire residential home,Entire home/apt,4,1.0,3.0,45.0,4,730,4.42,4.68,4.42,4.89,4.79,4.42,4.68,False,452494
85539,The Heart Of Athens,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99128,23.72965,Entire rental unit,Entire home/apt,4,1.0,4.0,75.0,4,730,,,,,,,,False,468541
119682,Acropolis apartment  GREAT LOCATION,ΑΚΡΟΠΟΛΗ,37.97267,23.72672,Entire rental unit,Entire home/apt,3,1.0,1.0,65.0,2,32,4.71,4.61,4.64,4.86,4.92,5.0,4.75,False,603724
131133,"Amazing view  2-4/p, Athens center",ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire rental unit,Entire home/apt,5,1.0,5.0,72.0,2,365,4.61,4.68,4.9,4.9,4.97,4.52,4.61,False,640163
133835,Studio in upscale/central location,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire rental unit,Entire home/apt,2,1.0,1.0,45.0,3,150,4.57,4.63,4.25,4.5,4.25,4.88,4.5,False,656936
133906,Amazing view -2 bedr. sleep 4-7/p,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire rental unit,Entire home/apt,7,2.0,7.0,77.0,2,365,4.8,4.72,4.83,4.85,4.85,4.28,4.63,False,640163
138386,"Apartment Dora , Service with style",ΠΑΓΚΡΑΤΙ,37.96783,23.7497,Entire rental unit,Entire home/apt,4,2.0,2.0,58.0,3,300,4.95,4.93,4.93,4.95,4.95,4.73,4.86,False,675611
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire rental unit,Entire home/apt,4,1.0,1.0,55.0,3,365,4.69,4.78,4.68,4.82,4.89,4.5,4.63,False,741851
155654,"Acropolis Cosy Apartment, Koukaki",ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire rental unit,Entire home/apt,3,1.0,1.0,60.0,2,365,4.87,4.97,4.83,4.97,4.93,5.0,4.73,True,712602
157869,Kallimarmaro 2B/R Apartment,ΣΤΑΔΙΟ,37.966,23.74443,Entire rental unit,Entire home/apt,4,2.0,2.0,61.0,1,730,4.67,4.69,4.72,4.9,4.92,4.68,4.71,True,650923
167416,"Apartment in Central Athens, Greece",ΠΑΤΗΣΙΑ,38.00876,23.73967,Entire rental unit,Entire home/apt,4,2.0,4.0,74.0,14,730,,,,,,,,False,797823
179705,Great Central location - Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97436,23.73366,Entire rental unit,Entire home/apt,4,2.0,2.0,35.0,2,30,4.13,4.22,4.04,4.62,4.57,4.97,4.36,False,860485
185936,New apartmenrt in Athens!,ΓΚΑΖΙ,37.97858,23.70967,Private room in rental unit,Private room,2,1.0,1.0,30.0,7,730,,,,,,,,False,885156
196935,Large living space near Syntagma,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.73174,Entire rental unit,Entire home/apt,2,1.0,1.0,36.0,2,30,4.21,4.38,4.33,4.3,4.5,4.85,4.4,False,860485
251361,A relaxing house overlooking Athens,ΑΝΩ ΠΑΤΗΣΙΑ,38.01873,23.74465,Entire rental unit,Entire home/apt,4,1.0,1.0,133.0,5,365,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,592616
