id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
176307,Nikolas apartment @ city's heart (2BD),Thessaloniki,40.63416,22.94606,Entire rental unit,Entire home/apt,4,1.0,1.0,49.0,28,366,4.9,4.95,4.92,4.97,4.95,4.96,4.88,False,663967
218831,Sea-life apartment,Kalamaria,40.57187,22.95678,Entire rental unit,Entire home/apt,6,3.0,2.0,55.0,4,90,4.0,5.0,4.0,5.0,5.0,5.0,5.0,False,137588
483128,Stel's apt in Thessaloniki center!,Thessaloniki,40.63765,22.94979,Entire rental unit,Entire home/apt,2,1.0,1.0,30.0,1,1125,4.8,4.84,4.78,4.95,4.95,4.71,4.74,True,2358521
550239,Kripis Studio Thessaloniki No1,Thessaloniki,40.64008,22.95598,Entire serviced apartment,Entire home/apt,2,,1.0,43.0,10,1125,4.4,4.2,4.4,4.8,5.0,4.6,4.2,True,1193625
756569,Fully renovated studio near center!,Thessaloniki,40.61254,22.97487,Entire rental unit,Entire home/apt,5,2.0,1.0,37.0,1,1125,4.76,4.65,4.88,4.82,4.88,4.53,4.5,False,3714248
798646,LUXURIOUS & STYLISH APARTMENT IN THESSALONIKI,Pilea – Chortiatis,40.58489,23.035,Entire rental unit,Entire home/apt,2,1.0,1.0,100.0,7,92,4.86,5.0,5.0,5.0,5.0,4.86,4.29,False,2890501
817373,Hermes - Cosy central apartment,Thessaloniki,40.63968,22.93879,Entire rental unit,Entire home/apt,2,1.0,1.0,33.0,2,1125,4.72,4.74,4.83,4.81,4.89,4.72,4.67,True,4293278
912803,Looking for the room?,Pavlou Mela,40.6576,22.9326,Private room in condominium (condo),Private room,1,1.0,1.0,17.0,2,1125,4.95,4.92,4.98,4.93,4.9,4.72,4.92,False,3835591
1006153,Kripis Studio Thessaloniki No4,Thessaloniki,40.64004,22.95609,Entire serviced apartment,Entire home/apt,5,1.0,4.0,42.0,10,1125,4.82,4.73,4.73,5.0,4.91,4.64,4.82,True,1193625
1007872,Cozy studio in old city near city center,Thessaloniki,40.639,22.95651,Entire condominium (condo),Entire home/apt,2,,1.0,19.0,3,90,4.6,4.69,4.53,4.97,4.9,4.59,4.72,True,5543143
1013340,Kripis Studio Thessaloniki No2,Thessaloniki,40.63983,22.95495,Entire serviced apartment,Entire home/apt,2,,1.0,32.0,10,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1193625
1058022,Afrodite - Pantheon apartments,Thessaloniki,40.63955,22.93885,Entire rental unit,Entire home/apt,3,1.0,1.0,40.0,1,1125,4.67,4.88,4.81,4.81,4.87,4.56,4.6,True,4293278
1060922,The Epsilon - Suite 59,Thessaloniki,40.63353,22.94358,Entire rental unit,Entire home/apt,2,1.0,1.0,55.0,3,65,4.9,4.85,4.98,4.98,5.0,4.95,4.76,False,5841701
1117177,Kripis Studio Thessaloniki No3,Thessaloniki,40.64088,22.95496,Entire serviced apartment,Entire home/apt,3,,2.0,36.0,10,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1193625
1397321,Kripis Studio Thessaloniki No5,Thessaloniki,40.63903,22.95673,Entire serviced apartment,Entire home/apt,5,,3.0,50.0,10,1125,5.0,5.0,5.0,5.0,5.0,4.0,5.0,True,1193625
2086784,Waterfront #8Design - Bubblegum Box,Thessaloniki,40.63177,22.94171,Entire rental unit,Entire home/apt,2,1.0,1.0,35.0,1,7,4.72,4.8,4.82,4.89,4.89,4.93,4.7,True,10654206
2174678,Art Gallery Center Apartment,Thessaloniki,40.62943,22.94839,Entire rental unit,Entire home/apt,4,2.0,2.0,250.0,2,7,4.92,4.91,4.84,4.93,4.97,5.0,4.87,False,7591507
2346672,"Central, warm, bright, comfy apt",Thessaloniki,40.63241,22.94945,Entire rental unit,Entire home/apt,3,1.0,1.0,61.0,5,22,4.52,4.69,4.76,4.81,4.81,4.82,4.46,False,6329227
2417714,Thessaloniki Central Cozy Apartment wifi,Thessaloniki,40.64186,22.94434,Entire rental unit,Entire home/apt,6,2.0,3.0,41.0,2,1125,4.74,4.81,4.74,4.95,4.96,4.65,4.81,True,12356276
2525130,Luxurious fabulous modern studio - Panorama centre,Pilea – Chortiatis,40.59138,23.03282,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,3,1125,4.2,4.0,4.0,5.0,5.0,5.0,4.0,True,12928977
