id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
5456,"Walk to 6th, Rainey St and Convention Ctr",78702,30.26057,-97.73441,Entire guesthouse,Entire home/apt,3,1.0,2.0,240.0,2,90,4.83,4.87,4.85,4.89,4.81,4.73,4.78,False,8028
5769,NW Austin Room,78729,30.45697,-97.78422,Private room in home,Private room,2,1.0,1.0,42.0,1,14,4.9,4.9,4.86,4.91,4.94,4.74,4.92,False,8186
6413,Gem of a Studio near Downtown,78704,30.24885,-97.73587,Entire guesthouse,Entire home/apt,2,,1.0,109.0,3,365,4.97,4.99,4.99,4.99,4.98,4.86,4.94,True,13879
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",78704,30.26034,-97.76487,Entire guesthouse,Entire home/apt,3,1.0,2.0,325.0,3,365,4.97,4.97,4.96,4.99,4.97,4.97,4.89,True,14156
8502,Woodland Studio Lodging,78741,30.23466,-97.73682,Entire guest suite,Entire home/apt,2,1.0,1.0,44.0,3,90,4.53,4.49,4.67,4.83,4.86,4.64,4.57,False,25298
13035,Historic house in highly walkable East Austin,78702,30.26098,-97.73072,Entire residential home,Entire home/apt,3,2.0,2.0,250.0,30,180,5.0,4.93,4.93,5.0,5.0,5.0,5.0,False,50793
21126,Quiet Mid Century Modern Retreat with Patio and Yard,78704,30.24417,-97.73988,Entire residential home,Entire home/apt,4,2.0,2.0,417.0,1,365,4.9,4.93,4.93,4.99,4.99,4.99,4.8,True,80406
22166,Close in Hill country views NW,78759,30.38794,-97.76358,Entire townhouse,Entire home/apt,4,2.0,2.0,153.0,30,365,4.8,5.0,4.25,5.0,5.0,5.0,4.75,False,84906
22828,Garage Apartment near S Congress,78741,30.23614,-97.73225,Entire guesthouse,Entire home/apt,2,1.0,1.0,58.0,31,365,4.93,5.0,5.0,5.0,5.0,4.8,4.9,False,56488
40285,"OUTDOOR LIVING IN AUSTIN, TX",78731,30.35123,-97.76207,Entire residential home,Entire home/apt,4,2.0,2.0,350.0,2,30,4.91,4.94,4.94,4.97,4.97,4.91,4.78,False,170787
47572,Cozy Home in  N. Austin for Longer Stays,78758,30.37783,-97.70749,Private room in residential home,Private room,1,1.0,1.0,42.0,30,120,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,215917
50318,Scooby Doo House,78705,30.28588,-97.75145,Entire condominium (condo),Entire home/apt,2,2.0,3.0,117.0,30,1125,4.87,4.74,4.74,5.0,4.96,4.81,4.85,False,12409
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",78704,30.25756,-97.76995,Entire guesthouse,Entire home/apt,6,1.0,3.0,188.0,1,15,4.91,4.93,4.93,4.96,4.96,4.94,4.81,False,272156
69303,Colorful and Quirky Zilker Park Townhouse,78704,30.26146,-97.77276,Entire condominium (condo),Entire home/apt,4,1.0,1.0,278.0,2,90,4.96,4.95,4.99,5.0,5.0,4.95,4.83,True,272156
69810,"Live Beneath Live Oaks in a Bright, Intimate House",78704,30.2309,-97.76619,Entire guesthouse,Entire home/apt,2,1.0,1.0,124.0,2,730,4.98,4.98,5.0,4.99,4.99,4.8,4.95,False,82762
70258,South 1st Garage Apartment - Ideally Central,78704,30.23644,-97.76611,Entire guesthouse,Entire home/apt,3,1.0,1.0,225.0,2,28,4.94,4.97,4.86,4.94,4.89,4.92,4.72,False,355348
70812,1 Bedroom Apt; Above the Studio,78704,30.24648,-97.74913,Entire guesthouse,Entire home/apt,3,1.0,3.0,150.0,2,30,4.9,4.96,4.9,4.99,4.94,4.95,4.83,False,268988
72833,"Private, Central Cottage with Full Kitchen",78731,30.313,-97.75066,Entire guesthouse,Entire home/apt,2,1.0,1.0,136.0,3,30,4.91,4.92,4.9,4.96,4.95,4.89,4.91,True,378744
73005,3BR Convenient Gated Townhome w/ Pool Access!,78727,30.41419,-97.73183,Entire townhouse,Entire home/apt,6,2.0,4.0,280.0,2,1125,4.93,4.9,4.79,4.92,4.95,4.79,4.85,False,128514
73289,Simple 2/2 in Central Austin,78705,30.29016,-97.74478,Entire rental unit,Entire home/apt,4,2.0,2.0,110.0,30,1125,4.87,4.91,4.83,4.92,4.92,4.92,4.92,False,382510
