id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
44736226,Lakeview Home and Guest House in Historic Rockwall,District 9,32.90794,-96.46437,Entire home,Entire home/apt,12,5.0,8.0,529.0,2,1125,5.0,5.0,5.0,5.0,5.0,4.6,4.8,False,46935434
573053656875549810,NEW! Updated Rowlett Home: Paradise Park On-Site!,District 9,32.88239,-96.52959,Entire home,Entire home/apt,7,3.0,5.0,220.0,2,1125,,,,,,,,True,124060715
40038334,#4 Castle Keep,District 3,32.66204,-96.92293,Private room in home,Private room,2,1.0,1.0,41.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,43897852
50655783,Luxurious Spacious 1 Bedroom in Dallas,District 11,32.93762,-96.82281,Entire rental unit,Entire home/apt,4,1.0,2.0,122.0,1,365,4.97,4.97,4.91,4.67,4.97,4.97,4.97,True,349473128
54196007,Luxury 1BR GEM Near Galleria Mall All Things Blue,District 11,32.94712,-96.82599,Entire rental unit,Entire home/apt,2,1.0,1.0,136.0,1,1125,4.73,4.86,4.82,4.77,4.86,4.68,4.77,False,408473679
570101744315439970,Lovely 1 bedroom unit with pool close to Galleria,District 11,32.93803,-96.82445,Entire rental unit,Entire home/apt,4,1.0,1.0,124.0,1,1125,4.71,4.71,4.57,4.71,4.86,4.86,4.86,True,422542935
53771007,The Teal Dreams Suite,District 11,32.93046,-96.82494,Entire rental unit,Entire home/apt,5,1.0,2.0,102.0,1,1125,4.9,4.95,4.9,4.9,5.0,4.95,4.9,True,147694737
559479063620702004,Spacious one-bedroom apartment with a pool/hot-tub,District 11,32.94003,-96.82268,Entire serviced apartment,Entire home/apt,4,1.0,1.0,106.0,1,60,4.77,4.69,5.0,4.62,4.85,4.92,4.54,True,433378589
600819069529838943,"Hidden gem, luxe 1 Bd apartment with patio",District 11,32.946297,-96.826477,Entire rental unit,Entire home/apt,3,1.0,4.0,105.0,1,90,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,452778247
51781768,Luxury plush unit,District 11,32.93792,-96.82431,Entire rental unit,Entire home/apt,2,1.0,1.0,98.0,1,182,4.86,4.93,5.0,4.93,5.0,5.0,4.86,True,419481138
42713238,The Best Airbnb in North Dallas | Far North Dallas,District 13,32.9295,-96.82975,Entire rental unit,Entire home/apt,7,3.0,5.0,210.0,56,320,5.0,5.0,5.0,4.0,4.0,5.0,5.0,True,108514926
43184026,North Dallas AMAZING Price & Location | KING BED,District 11,32.93025,-96.82464,Entire rental unit,Entire home/apt,4,1.0,2.0,120.0,28,320,4.0,5.0,5.0,3.0,5.0,5.0,5.0,True,108514926
42988786,#3 Castle Tower for the Minimalist,District 3,32.6638,-96.92399,Private room in home,Private room,1,1.0,1.0,39.0,31,1125,5.0,5.0,4.96,5.0,5.0,5.0,4.92,False,43897852
40810167,⭐️⭐️The Best Two-Bedroom + den in North Dallas⭐️⭐️,District 11,32.9304,-96.82303,Entire rental unit,Entire home/apt,7,3.0,5.0,199.0,30,320,4.67,5.0,4.33,5.0,5.0,5.0,5.0,True,108514926
625339703174073017,Lovely one bedroom,District 11,32.92968041712962,-96.82182504733784,Entire rental unit,Entire home/apt,2,1.0,1.0,166.0,1,365,,,,,,,,True,443171555
